chrom	length	bases	mean	min	max
chr1	248956422	11967184975	48.07	0	22670
chr1_region	248956422	11967184975	48.07	0	22670
chr2	242193529	11162234236	46.09	0	1949
chr2_region	242193529	11162234236	46.09	0	1949
chr3	198295559	9244851657	46.62	0	105065
chr3_region	198295559	9244851657	46.62	0	105065
chr4	190214555	9149675786	48.10	0	66441
chr4_region	190214555	9149675786	48.10	0	66441
chr5	181538259	8385274725	46.19	0	17857
chr5_region	181538259	8385274725	46.19	0	17857
chr6	170805979	8032383089	47.03	0	1899
chr6_region	170805979	8032383089	47.03	0	1899
chr7	159345973	7349311881	46.12	0	1240
chr7_region	159345973	7349311881	46.12	0	1240
chr8	145138636	6767931373	46.63	0	1603
chr8_region	145138636	6767931373	46.63	0	1603
chr9	138394717	5579579950	40.32	0	693
chr9_region	138394717	5579579950	40.32	0	693
chr10	133797422	6285014370	46.97	0	4701
chr10_region	133797422	6285014370	46.97	0	4701
chr11	135086622	6183696871	45.78	0	900
chr11_region	135086622	6183696871	45.78	0	900
chr12	133275309	6170826115	46.30	0	1043
chr12_region	133275309	6170826115	46.30	0	1043
chr13	114364328	4812972593	42.08	0	68493
chr13_region	114364328	4812972593	42.08	0	68493
chr14	107043718	4124291062	38.53	0	260
chr14_region	107043718	4124291062	38.53	0	260
chr15	101991189	3844034033	37.69	0	337
chr15_region	101991189	3844034033	37.69	0	337
chr16	90338345	4259060405	47.15	0	40428
chr16_region	90338345	4259060405	47.15	0	40428
chr17	83257441	3747991323	45.02	0	1394
chr17_region	83257441	3747991323	45.02	0	1394
chr18	80373285	3705217764	46.10	0	2677
chr18_region	80373285	3705217764	46.10	0	2677
chr19	58617616	2478971949	42.29	0	480
chr19_region	58617616	2478971949	42.29	0	480
chr20	64444167	3073978335	47.70	0	2440
chr20_region	64444167	3073978335	47.70	0	2440
chr21	46709983	2106772403	45.10	0	30591
chr21_region	46709983	2106772403	45.10	0	30591
chr22	50818468	1721265351	33.87	0	7386
chr22_region	50818468	1721265351	33.87	0	7386
chrX	156040895	3611128088	23.14	0	671
chrX_region	156040895	3611128088	23.14	0	671
chrY	57227415	1114302870	19.47	0	11834
chrY_region	57227415	1114302870	19.47	0	11834
chrM	16569	14726238	888.78	666	942
chrM_region	16569	14726238	888.78	666	942
chr1_KI270706v1_random	175055	9263928	52.92	17	109
chr1_KI270706v1_random_region	175055	9263928	52.92	17	109
chr1_KI270707v1_random	32032	1134475	35.42	12	46
chr1_KI270707v1_random_region	32032	1134475	35.42	12	46
chr1_KI270708v1_random	127682	3059358	23.96	4	38
