chrom	length	bases	mean	min	max
chr1	248956422	10189798361	40.93	0	24616
chr1_region	248956422	10189798361	40.93	0	24616
chr2	242193529	9995415891	41.27	0	1655
chr2_region	242193529	9995415891	41.27	0	1655
chr3	198295559	8349412613	42.11	0	40067
chr3_region	198295559	8349412613	42.11	0	40067
chr4	190214555	8445761074	44.40	0	75297
chr4_region	190214555	8445761074	44.40	0	75297
chr5	181538259	7592494607	41.82	0	13622
chr5_region	181538259	7592494607	41.82	0	13622
chr6	170805979	7265462902	42.54	0	2804
chr6_region	170805979	7265462902	42.54	0	2804
chr7	159345973	6423006292	40.31	0	522
chr7_region	159345973	6423006292	40.31	0	522
chr8	145138636	6031293729	41.56	0	1256
chr8_region	145138636	6031293729	41.56	0	1256
chr9	138394717	4855892840	35.09	0	573
chr9_region	138394717	4855892840	35.09	0	573
chr10	133797422	5418769130	40.50	0	3470
chr10_region	133797422	5418769130	40.50	0	3470
chr11	135086622	5393676231	39.93	0	1226
chr11_region	135086622	5393676231	39.93	0	1226
chr12	133275309	5411709245	40.61	0	1541
chr12_region	133275309	5411709245	40.61	0	1541
chr13	114364328	4398685074	38.46	0	85312
chr13_region	114364328	4398685074	38.46	0	85312
chr14	107043718	3627758846	33.89	0	178
chr14_region	107043718	3627758846	33.89	0	178
chr15	101991189	3283868631	32.20	0	378
chr15_region	101991189	3283868631	32.20	0	378
chr16	90338345	3532044532	39.10	0	38785
chr16_region	90338345	3532044532	39.10	0	38785
chr17	83257441	2969118120	35.66	0	1337
chr17_region	83257441	2969118120	35.66	0	1337
chr18	80373285	3294021343	40.98	0	1494
chr18_region	80373285	3294021343	40.98	0	1494
chr19	58617616	1784843716	30.45	0	584
chr19_region	58617616	1784843716	30.45	0	584
chr20	64444167	2503031788	38.84	0	1844
chr20_region	64444167	2503031788	38.84	0	1844
chr21	46709983	1726288881	36.96	0	22966
chr21_region	46709983	1726288881	36.96	0	22966
chr22	50818468	1309966712	25.78	0	5071
chr22_region	50818468	1309966712	25.78	0	5071
chrX	156040895	3235324812	20.73	0	259
chrX_region	156040895	3235324812	20.73	0	259
chrY	57227415	965503202	16.87	0	17051
chrY_region	57227415	965503202	16.87	0	17051
chrM	16569	4996938	301.58	261	334
chrM_region	16569	4996938	301.58	261	334
chr1_KI270706v1_random	175055	7071078	40.39	9	71
chr1_KI270706v1_random_region	175055	7071078	40.39	9	71
chr1_KI270707v1_random	32032	782495	24.43	9	34
chr1_KI270707v1_random_region	32032	782495	24.43	9	34
chr1_KI270708v1_random	127682	2125210	16.64	4	27
chr1_KI270708v1_random_region	127682	2125210	16.64	4	27
chr1_KI270709v1_random	66860	86946733	1300.43	37	5229
chr1_KI270709v1_random_region	66860	86946733	1300.43	37	5229
chr1_KI270710v1_random	40176	1693447	42.15	18	56
chr1_KI270710v1_random_region	40176	1693447	42.15	18	56
chr1_KI270711v1_random	42210	2063482	48.89	4	111
chr1_KI270711v1_random_region	42210	2063482	48.89	4	111
chr1_KI270712v1_random	176043	2473413	14.05	0	53
chr1_KI270712v1_random_region	176043	2473413	14.05	0	53
chr1_KI270713v1_random	40745	2583033	63.40	2	126
chr1_KI270713v1_random_region	40745	2583033	63.40	2	126
chr1_KI270714v1_random	41717	1021989	24.50	3	49
chr1_KI270714v1_random_region	41717	1021989	24.50	3	49
chr2_KI270715v1_random	161471	7029402	43.53	1	109
chr2_KI270715v1_random_region	161471	7029402	43.53	1	109
chr2_KI270716v1_random	153799	5490369	35.70	3	109
chr2_KI270716v1_random_region	153799	5490369	35.70	3	109
chr3_GL000221v1_random	155397	12645320	81.37	0	177
